scope_reason,award_id,piid,operator_raw,operator_relation,naics_code,naics_description,pop_city,pop_state,pop_country,fiscal_year,obligated_amount,description,source_file
remote_sites,CONT_AWD_1ALJ_9700_SPM50005DBP07_9700,1ALJ,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,13620.0,4515299052!TRANSFORME TYPE RAD,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1ALS_9700_SPM50005DBP07_9700,1ALS,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,28894.0,4515365803!TRANSFORME TYPE RAD,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1ALX_9700_SPM50005DBP07_9700,1ALX,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,16156.0,4515299025!TRANSFORME TYPE RAD,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AMA_9700_SPM50005DBP07_9700,1AMA,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,16156.0,4515365945!TRANSFORME TYPE RAD,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AME_9700_SPM50005DBP07_9700,1AME,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,21064.0,4515365937!TRANSFORME TYPE RAD,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AMJ_9700_SPM50005DBP07_9700,1AMJ,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,30118.0,4515365778!TRANSFORME TYPE RAD,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AMN_9700_SPM50005DBP07_9700,1AMN,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,5624.0,4515299056!TRANSFORME TYPE POL,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AMR_9700_SPM50005DBP07_9700,1AMR,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,4819.0,4515299029!TRANSFORME TYPE POL,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AMU_9700_SPM50005DBP07_9700,1AMU,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,3573.0,4515365924!TRANSFORME TYPE POL,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1ANP_9700_SPM50005DBP07_9700,1ANP,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,21948.0,4515299057!TRANSFORME TYPE RAD,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
