venue_id,canonical_name,venue_type,city,city_source,state,lat,lng,opened_date,closed_date,capacity,wikidata_qid,osm_id,spine_source,coord_delta_km,in_scope,name_is_ambiguous,alias_count,dated_alias_count,all_aliases
wd-Q104853485,Orange Armory,other,Orange,census_designated_places,NJ,42.59,-72.303611111,,,,Q104853485,,wikidata,,False,False,2,0,Orange Armory | The Orange Armory
wd-Q104857179,Playdium,other,Sheboygan,wikidata_unverified,WI,,,,1977-01-01,,Q104857179,,wikidata,,False,False,4,0,Playdium | Eagle Auditorium | Eagles Hall | Playdium Building
wd-Q104859951,Yellow Jacket Stadium,stadium,Cleburne,incorporated_places,TX,32.34207,-97.40138,,,,Q104859951,way/198106225,wikidata,0.067,True,True,1,0,Yellow Jacket Stadium
wd-Q101228238,Dorsey Park,ballpark,Miami,incorporated_places,FL,25.791901,-80.196313,,,,Q101228238,,wikidata,,True,False,1,0,Dorsey Park
wd-Q101314811,Condron Ballpark,ballpark,Gainesville,incorporated_places,FL,29.636374,-82.363786,2021-02-19,,,Q101314811,,wikidata,,True,False,2,0,Condron Ballpark | Florida Ballpark
wd-Q101429774,Weidner Field,stadium,Colorado Springs,incorporated_places,CO,38.826363,-104.828191,2021-04-24,,,Q101429774,way/816291271,wikidata,0.02,True,True,1,0,Weidner Field
wd-Q101444760,Volvo Car Stadium,other,Charleston,incorporated_places,SC,32.861457,-79.903627,,,,Q101444760,,wikidata,,False,True,1,0,Volvo Car Stadium
wd-Q101552102,Grizzly Ranch Golf Club,golf_course,Beckwourth,census_designated_places,CA,39.843261,-120.418061,,,,Q101552102,,wikidata,,False,False,1,0,Grizzly Ranch Golf Club
wd-Q101557492,Monterey Sports Center,other,Monterey,incorporated_places,CA,36.600012,-121.891428,,,,Q101557492,way/151694915,wikidata,0.005,False,False,1,0,Monterey Sports Center
wd-Q102398039,Pueblo Memorial Hall,arena,Pueblo,incorporated_places,CO,38.26555,-104.61101,,,,Q102398039,,wikidata,,True,False,2,0,Pueblo Memorial Hall | Memorial Hall Auditorium
wd-Q104904477,Doorknob Warming Hut Snowpark,other,,no_place,CA,41.671730085,-121.563064322,,,,Q104904477,,wikidata,,False,False,2,0,Doorknob Warming Hut Snowpark | Doorknob Snowmobile Park
wd-Q104904686,Chase Field,recreation,Hanover,census_designated_places,NH,43.69826,-72.27943,,,,Q104904686,,wikidata,,False,True,2,0,Chase Field | Chase AstroTurf Field
wd-Q104989041,Gerry Brown Stadium,stadium,Mendota Heights,incorporated_places,MN,44.866516683,-93.139292376,,,,Q104989041,,wikidata,,True,False,1,0,Gerry Brown Stadium
wd-Q105081264,Faulkner Performing Arts Center,recreation,Fayetteville,incorporated_places,AR,36.069444444,-94.175833333,1936-01-01,,,Q105081264,,wikidata,,False,False,5,0,"Faulkner Performing Arts Center | Fayetteville | Jim & Joyce Faulkner Performing Arts Center | Men's Gymnasium-University of Arkansas | Men's Gymnasium-University of Arkansas, Fayetteville"
wd-Q105095356,La Porte Civic Auditorium,arena,La Porte,incorporated_places,IN,41.6079541,-86.7121749,,,,Q105095356,,wikidata,,True,False,2,0,La Porte Civic Auditorium | LaPorte Civic Auditorium
wd-Q105100238,Lost Valley Scout Reservation,other,,no_place,CA,33.358906,-116.568279,,,,Q105100238,,wikidata,,False,False,1,0,Lost Valley Scout Reservation
wd-Q105409306,Peter Mathews Memorial Skate Garden,recreation,St. Louis,incorporated_places,MO,38.588271436,-90.265054566,,,,Q105409306,,wikidata,,False,False,4,0,Peter Mathews Memorial Skate Garden | KHVT Skatepark | Morgan Ford Skatepark | Morganford Skatepark
wd-Q105669384,UCLA Marshall Field,other,Los Angeles,incorporated_places,CA,34.072,-118.448,1999-01-01,,,Q105669384,,wikidata,,False,True,6,0,"UCLA Marshall Field | Frank W. Marshall Field | Los Angeles Marshall Field | Marshall Field | University of California | University of California, Los Angeles Marshall Field"
wd-Q105702624,Founders Hall,arena,Hershey,census_designated_places,PA,40.27157,-76.62505,,,,Q105702624,,wikidata,,True,False,2,0,Founders Hall | Chapel-Auditorium
wd-Q105771331,UCLA Straus Stadium,stadium,Los Angeles,incorporated_places,CA,34.070317852,-118.448706102,1984-05-20,,5800,Q105771331,way/188532291,wikidata,0.025,True,True,5,0,"UCLA Straus Stadium | Los Angeles Straus Stadium | Straus Stadium | University of California | University of California, Los Angeles Straus Stadium"
wd-Q105822407,Municipal Auditorium,arena,Miami,incorporated_places,FL,25.77218,-80.18525,1942-01-01,1980-01-01,,Q105822407,,wikidata,,True,True,2,0,Municipal Auditorium | Bayfront Park Auditorium
wd-Q105836796,Great Auditorium,arena,Ocean Grove,census_designated_places,NJ,40.2141197,-74.0064279,,,6250,Q105836796,,wikidata,,True,False,1,0,Great Auditorium
wd-Q105887804,City Auditorium,arena,St. Joseph,incorporated_places,MO,39.769462436,-94.85578101,,,,Q105887804,,wikidata,,True,True,1,0,City Auditorium
wd-Q105888409,Secrest Auditorium and Music Hall,arena,Zanesville,incorporated_places,OH,39.94304,-82.00804,,,,Q105888409,,wikidata,,True,True,3,0,Secrest Auditorium and Music Hall | Municipal Auditorium | Secrest Auditorium
wd-Q105954350,John H. Sykes College of Business building,arena,Tampa,incorporated_places,FL,27.94728,-82.46557,,,,Q105954350,,wikidata,,True,True,5,0,John H. Sykes College of Business building | City of Tampa Municipal Auditorium | John H. Sykes College of Business | McKay Auditorium | Municipal Auditorium
wd-Q105956266,The Forum,arena,Wichita,incorporated_places,KS,37.6834,-97.3403,,,,Q105956266,,wikidata,,True,False,1,0,The Forum
wd-Q105956523,Wichita Falls Memorial Auditorium,arena,Wichita Falls,incorporated_places,TX,33.909633,-98.4995842,,,,Q105956523,,wikidata,,True,False,1,0,Wichita Falls Memorial Auditorium
wd-Q105549356,Warner Auditorium,arena,Anderson,incorporated_places,IN,40.11213,-85.66094,,2006-01-01,,Q105549356,,wikidata,,True,False,1,0,Warner Auditorium
wd-Q105549534,William B. Bell Memorial Auditorium,arena,Augusta-Richmond County consolidated government (balance),incorporated_places,GA,33.47124,-81.96607,,,,Q105549534,,wikidata,,True,True,4,0,William B. Bell Memorial Auditorium | Bell Auditorium | Municipal Auditorium | William B. Bell Auditorium
wd-Q105565759,Elmwood Music Hall,arena,Buffalo,incorporated_places,NY,42.896952799,-78.876870963,,1938-01-01,,Q105565759,,wikidata,,True,True,4,0,Elmwood Music Hall | 74th Armory | Elmwood Convention Hall | Music Hall
wd-Q105581235,Canton Auditorium,arena,Canton,incorporated_places,OH,40.807805555,-81.373111111,,1951-01-01,,Q105581235,,wikidata,,True,False,4,0,"Canton Auditorium | Canton | The Auditorium | The Auditorium, Canton"
wd-Q106077342,Buckhead Cycling Course,other,Atlanta,wikidata_unverified,GA,,,,,,Q106077342,,wikidata,,False,False,1,0,Buckhead Cycling Course
wd-Q106506352,Phoenix Rising Soccer Stadium,stadium,,no_place,AZ,33.270111111,-111.978472222,2023-04-01,,,Q106506352,way/1463563118,wikidata,19.588,True,False,2,0,Phoenix Rising Soccer Stadium | Wild Horse Pass Stadium
wd-Q106512799,Indiana State Fairgrounds & Event Center,arena,Indianapolis,wikidata_unverified,IN,,,,,,Q106512799,,wikidata,,True,False,3,0,Indiana State Fairgrounds & Event Center | Indiana State Fairgrounds | Indiana State Fairgrounds and Event Center
wd-Q106534142,Raritan Valley Country Club,golf_course,,no_place,NJ,40.5797996,-74.6335754,,,,Q106534142,,wikidata,,False,False,1,0,Raritan Valley Country Club
wd-Q106608783,UNCW Soccer Stadium,stadium,Wilmington,incorporated_places,NC,34.2225,-77.876388888,,,,Q106608783,way/309005402,wikidata,0.026,True,False,1,0,UNCW Soccer Stadium
wd-Q106625590,Ottawa Memorial Auditorium,arena,Ottawa,incorporated_places,KS,38.614054217,-95.266758316,,,,Q106625590,,wikidata,,True,False,1,0,Ottawa Memorial Auditorium
